center,left,right,steering_angle,accelerator,brake,speed
D:\self driving car\IMG\center_2024_01_28_12_16_40_410.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_40_410.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_40_410.jpg,0,0,0,5.89E-06
D:\self driving car\IMG\center_2024_01_28_12_16_40_477.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_40_477.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_40_477.jpg,0,0,0,8.17E-07
D:\self driving car\IMG\center_2024_01_28_12_16_40_544.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_40_544.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_40_544.jpg,0,0,0,8.98E-06
D:\self driving car\IMG\center_2024_01_28_12_16_40_613.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_40_613.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_40_613.jpg,0,0,0,3.43E-06
D:\self driving car\IMG\center_2024_01_28_12_16_40_684.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_40_684.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_40_684.jpg,0,0.1263165,0,0.06835929
D:\self driving car\IMG\center_2024_01_28_12_16_40_754.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_40_754.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_40_754.jpg,0,0.3006255,0,0.2048215
D:\self driving car\IMG\center_2024_01_28_12_16_40_825.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_40_825.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_40_825.jpg,0,0.5499066,0,0.6229508
D:\self driving car\IMG\center_2024_01_28_12_16_40_898.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_40_898.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_40_898.jpg,0,0.781905,0,1.203318
D:\self driving car\IMG\center_2024_01_28_12_16_40_965.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_40_965.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_40_965.jpg,-0.15,0.9648417,0,1.82767
D:\self driving car\IMG\center_2024_01_28_12_16_41_032.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_032.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_032.jpg,0,1,0,2.498213
D:\self driving car\IMG\center_2024_01_28_12_16_41_105.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_105.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_105.jpg,0,1,0,3.440971
D:\self driving car\IMG\center_2024_01_28_12_16_41_174.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_174.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_174.jpg,-0.05,1,0,4.145249
D:\self driving car\IMG\center_2024_01_28_12_16_41_247.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_247.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_247.jpg,-0.25,1,0,5.068192
D:\self driving car\IMG\center_2024_01_28_12_16_41_319.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_319.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_319.jpg,-0.45,1,0,5.968174
D:\self driving car\IMG\center_2024_01_28_12_16_41_386.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_386.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_386.jpg,0,1,0,6.625721
D:\self driving car\IMG\center_2024_01_28_12_16_41_454.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_454.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_454.jpg,0,1,0,7.306569
D:\self driving car\IMG\center_2024_01_28_12_16_41_526.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_526.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_526.jpg,-0.2,1,0,8.207786
D:\self driving car\IMG\center_2024_01_28_12_16_41_598.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_598.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_598.jpg,0,1,0,9.089687
D:\self driving car\IMG\center_2024_01_28_12_16_41_665.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_665.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_665.jpg,-0.1,1,0,9.759107
D:\self driving car\IMG\center_2024_01_28_12_16_41_738.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_738.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_738.jpg,-0.3,1,0,10.6278
D:\self driving car\IMG\center_2024_01_28_12_16_41_805.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_805.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_805.jpg,-0.45,1,0,11.25159
D:\self driving car\IMG\center_2024_01_28_12_16_41_874.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_874.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_874.jpg,0,1,0,11.94851
D:\self driving car\IMG\center_2024_01_28_12_16_41_945.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_41_945.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_41_945.jpg,0,1,0,12.70996
D:\self driving car\IMG\center_2024_01_28_12_16_42_013.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_013.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_013.jpg,-0.15,1,0,13.36313
D:\self driving car\IMG\center_2024_01_28_12_16_42_085.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_085.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_085.jpg,-0.35,1,0,14.21894
D:\self driving car\IMG\center_2024_01_28_12_16_42_156.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_156.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_156.jpg,0,1,0,15.05463
D:\self driving car\IMG\center_2024_01_28_12_16_42_222.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_222.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_222.jpg,-0.05,1,0,15.59744
D:\self driving car\IMG\center_2024_01_28_12_16_42_293.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_293.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_293.jpg,-0.2,1,0,16.35193
D:\self driving car\IMG\center_2024_01_28_12_16_42_362.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_362.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_362.jpg,0,1,0,17.17457
D:\self driving car\IMG\center_2024_01_28_12_16_42_433.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_433.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_433.jpg,0,1,0,17.63454
D:\self driving car\IMG\center_2024_01_28_12_16_42_501.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_501.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_501.jpg,-0.2,1,0,18.45824
D:\self driving car\IMG\center_2024_01_28_12_16_42_568.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_568.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_568.jpg,-0.35,1,0,19.18081
D:\self driving car\IMG\center_2024_01_28_12_16_42_640.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_640.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_640.jpg,0,1,0,19.95025
D:\self driving car\IMG\center_2024_01_28_12_16_42_708.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_708.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_708.jpg,-0.1,1,0,20.44895
D:\self driving car\IMG\center_2024_01_28_12_16_42_780.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_780.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_780.jpg,-0.3,1,0,21.24065
D:\self driving car\IMG\center_2024_01_28_12_16_42_847.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_847.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_847.jpg,0,1,0,21.87187
D:\self driving car\IMG\center_2024_01_28_12_16_42_914.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_914.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_914.jpg,0,1,0,22.42048
D:\self driving car\IMG\center_2024_01_28_12_16_42_986.jpg,D:\self driving car\IMG\left_2024_01_28_12_16_42_986.jpg,D:\self driving car\IMG\right_2024_01_28_12_16_42_986.jpg,-0.15,1,0,23.21233
